last_updated,price_usd,24h_volume_usd,market_cap_usd,available_supply,total_supply,percent_change_1h,percent_change_24h,percent_change_7d,volume,vwap,sell,buy,USD
1505262882,4085.7,1853610000.0,67665831263.0,16561625.0,16561625.0,-0.94,-2.52,-7.46,13626.19002620,4228.42,4121.15,4123.16,4122.15
1505263479,4090.14,1856840000.0,67739467131.0,16561650.0,16561650.0,-0.95,-2.46,-7.39,13567.44806865,4227.99,4121.34,4123.71,4122.53
1505264080,4099.98,1855230000.0,67902433767.0,16561650.0,16561650.0,-0.83,-2.26,-7.2,13542.24632914,4227.90,4120.46,4121.85,4121.16
1505264371,4102.61,1856280000.0,67946142703.0,16561687.0,16561687.0,-0.75,-2.23,-7.14,13566.84136435,4227.58,4137.53,4138.78,4138.16
1505264973,4114.27,1862010000.0,68139251973.0,16561687.0,16561687.0,-0.36,-2.02,-6.92,13518.59586976,4227.31,4133.08,4134.89,4133.99
1505265581,4111.61,1856090000.0,68095456917.0,16561750.0,16561750.0,-0.08,-2.2,-7.02,13541.79834860,4226.94,4127.76,4130.98,4129.37
1505266181,4107.59,1853340000.0,68028878683.0,16561750.0,16561750.0,0.32,-2.36,-7.14,13544.48744302,4226.87,4123.97,4126.89,4125.43
1505266775,4105.27,1851100000.0,67990504686.0,16561762.0,16561762.0,0.35,-2.49,-7.24,13547.79800397,4226.72,4119.44,4122.38,4120.91
1505267068,4101.19,1848310000.0,67922932697.0,16561762.0,16561762.0,0.23,-2.63,-7.34,13629.92809445,4225.89,4100.66,4102.67,4101.67
1505267671,4079.7,1843550000.0,67567020431.0,16561762.0,16561762.0,-0.43,-3.22,-7.87,13658.13917054,4225.53,4101.74,4102.68,4102.21
1505268283,4080.03,1842680000.0,67572689814.0,16561812.0,16561812.0,-0.64,-3.31,-7.91,13727.99163774,4224.51,4088.97,4089.35,4089.16
1505268872,4060.95,1845890000.0,67256690441.0,16561812.0,16561812.0,-1.16,-3.8,-8.39,13926.93788390,4222.15,4067.17,4069.15,4068.16
1505269472,4043.92,1852910000.0,66974642783.0,16561812.0,16561812.0,-1.54,-4.26,-8.81,14138.92851024,4219.52,4060.76,4066.09,4063.43
1505270068,4055.38,1852340000.0,67164441149.0,16561812.0,16561812.0,-1.16,-4.05,-8.59,14238.60808284,4218.48,4065.65,4068.88,4067.27
1505270374,4049.76,1849040000.0,67071667497.0,16561887.0,16561887.0,-1.18,-4.22,-8.77,14379.96921131,4216.69,4054.29,4055.81,4055.05
1505270977,4038.37,1844600000.0,66883027604.0,16561887.0,16561887.0,-1.29,-4.56,-9.08,14520.81246051,4214.54,4024.73,4024.88,4024.81
1505271570,4015.25,1842710000.0,66500116777.0,16561887.0,16561887.0,-1.59,-5.17,-9.65,14535.91599021,4213.69,4020.57,4023.17,4021.87
1505272179,4022.66,1856480000.0,66622840359.0,16561887.0,16561887.0,-0.99,-5.07,-9.53,14592.79386225,4211.97,4052.55,4054.96,4053.76
